image_id,blur,brightness,contrast,particle_density,edge_density
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_bright0.5,49.43502492255403,11.482497659849635,15.863229652891683,968.0,0.022061912274956918
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_bright1.5,389.59500592862463,35.60978530154036,45.102268476867934,3484.0,0.06942390955608257
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_combo0,17.571951985664953,24.21916376421869,30.67273677021827,1444.0,0.02314020064101928
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_combo1,2036.192799119989,36.044590200806404,45.34389979045082,3798.0,0.17853610777591447
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_gamma0.5,133.49250324620476,5.908864787269582,19.879017101657755,296.0,0.024397101190417124
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_gamma2.0,408.9289087431064,69.04230462638631,36.448099694707416,3974.0,0.1336118360340157
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_noise15,1673.8214803589262,25.424276703348315,32.0297719635947,3737.0,0.10390929147192977
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0_noise50,11583.82752449764,36.221985175188784,36.17976329157373,5196.0,0.3616929788873784
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_blur5,17.899559295270343,24.739024446715685,29.657855910776842,1858.0,0.022723438879903152
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_blur9,5.180318645391076,24.729726690283165,28.92124990537423,528.0,0.01453373951066877
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_bright0.5,56.695360911743386,11.761135973486013,15.377159345343124,1297.0,0.023203045668489172
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_bright1.5,457.7126999310323,36.39791817577424,43.69234760387186,3687.0,0.09729402542246743
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_combo0,1569.746595509305,25.63421547906103,30.32586572088566,3450.0,0.08330604536087931
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_combo1,1556.5240282859295,25.580135679106675,29.62883289209347,3280.0,0.07077342383017289
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_gamma0.5,130.23768562484173,5.75620429264614,19.682366769572145,338.0,0.023047586916326808
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_gamma2.0,511.706212160341,70.77416804760345,34.90502609292419,4074.0,0.16765730275757365
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_noise15,1723.6241626425265,25.734949442829215,31.222250796156285,3866.0,0.12551805802249852
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc_noise50,11665.747143607108,36.423833480523,35.67314955563887,5206.0,0.36319133664758163
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_blur5,9.407890594719966,25.884193152538113,31.75207544236285,967.0,0.017679298517188115
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_blur9,4.181456744192051,25.874587786234294,31.169798684972235,279.0,0.01255577496187953
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_bright0.5,17.843680851496945,12.357131752946275,16.19909814776979,564.0,0.014004518226711784
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_bright1.5,135.69959841326175,37.94932375442809,45.44943824697488,2784.0,0.036840416629455794
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_combo0,11680.34515068947,37.32709513744869,36.885990963643685,5062.0,0.363568406812401
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_combo1,18.161845586192072,72.66551561037406,35.1742153571859,2400.0,0.020924086514449394
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_gamma0.5,50.019000503657644,6.374691976674572,21.534684229526793,230.0,0.01868481895670639
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_gamma2.0,120.36471799756794,72.39019154502846,35.74062098643611,3253.0,0.04537410983326222
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_noise15,1603.8497570576815,26.76187357565053,32.827663769745236,3530.0,0.08972616106188251
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c_noise50,11709.345425982956,37.32241814435172,36.942852517177755,5186.0,0.3628738038772074
